,회사이름,채용공고,회사평점,회사지역,자격요건
351,(주)링티,백엔드 엔지니어,2.9,서울,"[군/마트 담당]
• 신규 채널 벤더 영업 및 관계 유지
• 마트 본사 바이어 신제품 영업
• 마트 별 프로모션 관리
• 군납 준비 및 신제품 영업, 판매 관리
• 군기증 제안 및 기증처 데이터 관리"
352,(주)자비스앤빌런즈,개발팀장,3.3,서울,"• 삼쩜삼의 Server API를 개발합니다.
• 수많은 고객의 결과를 처리할 수 있는 데이터 모델링 및 백오피스 시스템을 개발합니다.
• 대용량 트래픽을 빠르고 안정적으로 처리하는 인프라를 구성하고 운영합니다.
• 프론트 엔지니어, 데이터 분석가와 협업하며 서비스 사용성을 개선합니다.
• 정기적인 모니터링을 통해 최적화가 가능한 지점을 찾고 개선합니다."
353,(주)피어테크,머신러닝 엔지니어 경력채용,3.5,서울," - Node.js, Python, 또는 자바 스프링 프레임웍을 이용한 백엔드 개발 경력 3년 이상
 - WAS 등 DB Application 개발 경험 
 - Restful API 개발 경험"
354,(주)티빙,서비스기획,3.8,서울,- ML/DL 기반 모델들의 안정적인 서빙을 위한 파이프라인 설계 및 구축
355,(주)어바웃펫,카피라이터 - 1년 이상,3.4,서울,"	모바일/이커머스 기획 경험이 3년 이상인 분
	PO/PM/PL 중 1개 이상 경험 보유하신 분
	비즈니스 요구사항에 기반한 서비스기획 및 화면 설계 가능하신 분
	데이터 기반의 가설 설계 및 문제해결 경력을 보유하신 분
	Web/APP 서비스 프로세스에 대한 높은 이해도 보유하신 분
"
356,데이원컴퍼니(주),[패스트캠퍼스] 기업교육 운영 (Learning Experience) 매니저,2.7,서울,"• 다양한 교육 내용에 대한 빠른 학습능력, 자기계발에 대한 욕심
• 이해관계자들과의 유연하고 명확한 커뮤니케이션 능력, 갑작스런 이슈에 대한 문제 해결력
• 교육 만족도 극대화를 위해 능동적이고 치열하게 고민하는 주도적인 자세
• 내가 맡은 교육 건에 대해 끝까지 결과를 만드는 끈기와 책임감"
357,데이원컴퍼니(주),Front-end Developer,2.7,서울,"• 다양한 교육 내용에 대한 빠른 학습능력, 자기계발에 대한 욕심
• 이해관계자들과의 유연하고 명확한 커뮤니케이션 능력, 갑작스런 이슈에 대한 문제 해결력
• 교육 만족도 극대화를 위해 능동적이고 치열하게 고민하는 주도적인 자세
• 내가 맡은 교육 건에 대해 끝까지 결과를 만드는 끈기와 책임감"
358,(유)미소,[CATCH FASHION] 이커머스 서비스 기획 [PM. PO],2.8,서울,"[미소에서 하게 될 업무는요]

- 사용자 편의성 향상을 위한 모바일 또는 웹 애플리케이션 개발
- 고객 피드백을 얻기 위한 다양한 트레킹 데이터 설계 및 수집
- 업무 효율을 최대화 하기 위한 내부 툴 설계 및 개발"
359,(주)스마일벤처스,[패스트캠퍼스] 온라인 교육 운영 매니저 (Learning Experience Manager) (1년 계약직),2.7,서울,"• App/Web 서비스 기획 및 운영 경험 5년 이상~10년 미만 
• eCommerce App/Web 기획 및 운영 경험 2년 이상
• User research 혹은 data 분석 기반으로 기획을 하시는 분
• 개발, UX 디자이너, 마케터 등 협업 부서를 리드해 가실 수 있는 분
• 애자일 팀에서 프로젝트를 진행 해 보신 분"
360,리메이크디지털(주),캠페인 본부 광고기획자(AE),3.9,서울,"ㆍ학력 : 대졸 이상 (4년) / 전공 무관
ㆍ경력 : 동종업계 유사 직무 경력 3년 이상"
361,리메이크디지털(주),Product Manager (PM),3.9,서울,"ㆍ학력 : 대졸 이상 (4년) / 전공 무관
ㆍ경력 : 동종업계 유사 직무 경력 3년 이상"
362,(주)띵스플로우,브이캣 딥러닝 엔지니어,3.9,서울,"- 2년 이상의 앱 서비스 기획/PM/PO 경력을 보유하신 분 
- IT 비즈니스 및 기술 트렌드에 대한 깊은 이해를 가지신 분
- 개발/디자인을 비롯한 다양한 직군 과의 원활한 커뮤니케이션 역량을 가지신 분
- 문제 해결 능력 및 논리적 사고, 빠른 추진력을 가지신 분"
363,(주)파이온코퍼레이션,"구매, 무역 업무",4.3,서울,"※ 1차 면접 전 문제 풀이 단계가 있습니다. 

• 딥러닝 동작 방식 및 알고리즘에 대한 깊이 있는 이해 

• Python 중급 이상 활용 가능

• 박사 졸업 이상, 학부는 컴퓨터 전공 필수"
364,비유에스(주),UC솔루션 개발,3.0,경기,"해외 contact winodw (발주, 상품소싱, 견적, 해외 방문자 대응)
영문자료 검토 & 번역 (계약서, 공문, Technical data sheet)
협력사 관리대응_가격 검토, Budget 관리, 컨플레인 처리
Supply Chain 담당
화학물질 수출입 (화평법, 화관법)

"
365,(주)이씨에스텔레콤,마케팅팀,3.9,서울,"- UC 솔루션 웹서비스 개발
"
366,(주)퍼폼어스,[4DREPLAY] Machine Learning [AI vision],0.0,서울,"- 퍼포먼스 마케팅 관련 업무 경력 3년 이상인 분
- 마케팅툴(GA)의 능숙한 활용 역량을 가지신 분
- 매체 통합 분석을 통한 마케팅 아이디어, 전략 수립 역량을 가지신 분
- 데이터 기반 마케팅 지표 개선 및 전환율 최적화 리딩 경험이 있으신 분
- 퍼포먼스 마케팅 성과측정 및 캠페인 리딩 경험이 있으신 분
- 대량의 rawdata를 가공, 시각화를 통한 분석, 전략 도출 역량을 가지신 분"
367,포디리플레이코리아(주),[Product Designer] UX/UI 디자이너,2.0,서울,"• OpenCV,  C/C++, Python
• Tensorflow, Pytorch 사용경험
• 유관업무 3년 이상 경력"
368,아슈리온코리아(유),Soluto Coach (Contact Center),3.3,서울,"당사 엑스퍼트(상담원)들의 일별 업무 계획을 수립하고 총괄함으로써 한국 내 Contact 센터(고객상담센터) 팀을 관리하는 매우 중요한 역할입니다. 팀 코치는 경험, 효율성 그리고 인력 관리의 세 가지 요소가 핵심인 직무입니다. 효율적인 코칭 및 관리감독을 통해 엑스퍼트들이 훌륭한 고객 서비스를 제공함으로써 최상의 성과를 낼 수 있도록 지원하는 것이 무엇보다 중요합니다. 그 밖에도 엑스퍼트들이 원활한 업무를 수행할 수 있도록 센터 내 기타 전반적인 업무를 수행합니다.

[엑스퍼트 관리를 통해 최상의 고객 서비스 경험 제공]
- 주기적인 코칭을 통해 엑스퍼트들의 고객 서비스 역량 개발 (아슈리온의 ADAPT 모델 활용) – 상담 품질 관리에 활용 가능한 실용적인 툴 제공
- 상담 품질을 감독/평가하고, 필요 시 엑스퍼트들에게 즉각적인 피드백을 제공함으로써 센터의 높은 서비스 품질 수준을 지속적으로 유지
- 고객 민원과 상급자 이관된 콜 업무를 가장 효율적이고 만족도를 높이는 방향으로 처리
- 센터 내 현장 지원, 상황에 따라 타 부서/동료와 협업
- 아슈리온의 고객 관계 유지 중요성을 충분히 인지하고, 이를 모든 이해 관계자들에 전달
- 고객 서비스 분야와 관련된 전사 차원의 활동에 기여 (예. 비즈니스 운영 개선 프로젝트 등)
- CSAT, NPS 분석 능력

[운영 효율성 제고]
- KPI 운영 목표 달성 
- 센터 전체 및 CS부문 외 타 부서와의 효과적이며 효율적인 협력 관계 형성
- 운영 효율성 관리를 위해 MI/BI 기능을 활용한 주기적인 리포팅 진행
- 근무 시간, 휴식 시간 관리 및 관련 문제 발생 시 즉시 해결

[엑스퍼트와의 강한 유대 관계 형성 및 지속적 관리]
- 엑스퍼트의 개별 업무 목표/KPI를 검토하고, 주기적으로 업무 진행 과정 평가
- 엑스퍼트별 개인 업무 계획 수립 및 주기적 진행 상황 평가
- 생산성 개선을 위해 팀 내 동기부여 및 사기 진작 (예. 성과에 대한 인정, 보상) 
- 아슈리온이 추구하는 핵심 가치 및 리더십 원칙을 몸소 실천함으로써 엑스퍼트들 또한 이를 이해/숙지하고 일상적인 업무에 반영할 수 있도록 함
- 엑스퍼트들이 사내 정책 및 운영 절차를 이해하고 이에 따라 업무를 수행할 수 있도록 함
- 모두가 아슈리온의 미션, 비전, 전략적 비즈니스 과제를 이해하도록 함
- 업무 관련 변동 사항이 있을 시, 정확한 커뮤니케이션 진행
- 신입 교육 기간 동안 레지던시 관리 및 상담 품질 평가
- 프로모션 & 이벤트 기획 및 진행

** 아슈리온은 ‘아슈리온코리아, 모바일티씨에스, 아슈리온코리아서비스’ 세 개의 법인으로 분류되며, 각 포지션별 업무 성격에 따라 소속법인이 상이합니다.
"
369,아슈리온코리아(유),백엔드 개발자 (PHP),3.3,서울,"당사 엑스퍼트(상담원)들의 일별 업무 계획을 수립하고 총괄함으로써 한국 내 Contact 센터(고객상담센터) 팀을 관리하는 매우 중요한 역할입니다. 팀 코치는 경험, 효율성 그리고 인력 관리의 세 가지 요소가 핵심인 직무입니다. 효율적인 코칭 및 관리감독을 통해 엑스퍼트들이 훌륭한 고객 서비스를 제공함으로써 최상의 성과를 낼 수 있도록 지원하는 것이 무엇보다 중요합니다. 그 밖에도 엑스퍼트들이 원활한 업무를 수행할 수 있도록 센터 내 기타 전반적인 업무를 수행합니다.

[엑스퍼트 관리를 통해 최상의 고객 서비스 경험 제공]
- 주기적인 코칭을 통해 엑스퍼트들의 고객 서비스 역량 개발 (아슈리온의 ADAPT 모델 활용) – 상담 품질 관리에 활용 가능한 실용적인 툴 제공
- 상담 품질을 감독/평가하고, 필요 시 엑스퍼트들에게 즉각적인 피드백을 제공함으로써 센터의 높은 서비스 품질 수준을 지속적으로 유지
- 고객 민원과 상급자 이관된 콜 업무를 가장 효율적이고 만족도를 높이는 방향으로 처리
- 센터 내 현장 지원, 상황에 따라 타 부서/동료와 협업
- 아슈리온의 고객 관계 유지 중요성을 충분히 인지하고, 이를 모든 이해 관계자들에 전달
- 고객 서비스 분야와 관련된 전사 차원의 활동에 기여 (예. 비즈니스 운영 개선 프로젝트 등)
- CSAT, NPS 분석 능력

[운영 효율성 제고]
- KPI 운영 목표 달성 
- 센터 전체 및 CS부문 외 타 부서와의 효과적이며 효율적인 협력 관계 형성
- 운영 효율성 관리를 위해 MI/BI 기능을 활용한 주기적인 리포팅 진행
- 근무 시간, 휴식 시간 관리 및 관련 문제 발생 시 즉시 해결

[엑스퍼트와의 강한 유대 관계 형성 및 지속적 관리]
- 엑스퍼트의 개별 업무 목표/KPI를 검토하고, 주기적으로 업무 진행 과정 평가
- 엑스퍼트별 개인 업무 계획 수립 및 주기적 진행 상황 평가
- 생산성 개선을 위해 팀 내 동기부여 및 사기 진작 (예. 성과에 대한 인정, 보상) 
- 아슈리온이 추구하는 핵심 가치 및 리더십 원칙을 몸소 실천함으로써 엑스퍼트들 또한 이를 이해/숙지하고 일상적인 업무에 반영할 수 있도록 함
- 엑스퍼트들이 사내 정책 및 운영 절차를 이해하고 이에 따라 업무를 수행할 수 있도록 함
- 모두가 아슈리온의 미션, 비전, 전략적 비즈니스 과제를 이해하도록 함
- 업무 관련 변동 사항이 있을 시, 정확한 커뮤니케이션 진행
- 신입 교육 기간 동안 레지던시 관리 및 상담 품질 평가
- 프로모션 & 이벤트 기획 및 진행

** 아슈리온은 ‘아슈리온코리아, 모바일티씨에스, 아슈리온코리아서비스’ 세 개의 법인으로 분류되며, 각 포지션별 업무 성격에 따라 소속법인이 상이합니다.
"
370,(주)세무통,프런트엔드 개발자 모집,0.0,서울,"저희 제품 개발에 필수적인 기술이네요!

- Next Js
- Javascript
- HTML, CSS
- Javascript
- Ajax


아래 능력이 있으면 더 좋을 것 같아요! 필수는 아니고, 배울 의지만 있어도 좋아요! 

- JSP / JSTL
- DataTables : 경험이 없더라도 기존 구현 되어있는 코드 해석/유지보수 가능한 수준
- D3 : 경험이 없더라도 리서치 후 사용가능한 수준
- 외부 API 연동 : 경험이 없더라도 리서치 후 사용가능한 수준
- XML, JSON의 경우 데이터 이해 및 작성 가능 수준"
371,(주)세무통,[광고팀] 퍼포먼스 마케터 (신입),0.0,서울,"저희 제품 개발에 필수적인 기술이네요!

- Next Js
- Javascript
- HTML, CSS
- Javascript
- Ajax


아래 능력이 있으면 더 좋을 것 같아요! 필수는 아니고, 배울 의지만 있어도 좋아요! 

- JSP / JSTL
- DataTables : 경험이 없더라도 기존 구현 되어있는 코드 해석/유지보수 가능한 수준
- D3 : 경험이 없더라도 리서치 후 사용가능한 수준
- 외부 API 연동 : 경험이 없더라도 리서치 후 사용가능한 수준
- XML, JSON의 경우 데이터 이해 및 작성 가능 수준"
372,(주)애드이피션시,퍼포먼스광고 AE부문 경력직 모집,3.6,서울,"ㆍPerformance 광고캠페인 운영과 대외 커뮤니케이션
ㆍSA, DA, SNS 등의 매체 운영과 App 마케팅
ㆍ광고 전략 기획 및 세팅 & 최적화
ㆍ리포트/제안서 작성 (엑셀 및 PPT 활용)
ㆍGA 활용 데이터 분석, VOC 분석 활용"
373,(주)애드이피션시,Cloud Edge App 개발자,3.6,서울,"ㆍPerformance 광고캠페인 운영과 대외 커뮤니케이션
ㆍSA, DA, SNS 등의 매체 운영과 App 마케팅
ㆍ광고 전략 기획 및 세팅 & 최적화
ㆍ리포트/제안서 작성 (엑셀 및 PPT 활용)
ㆍGA 활용 데이터 분석, VOC 분석 활용"
374,한화테크윈(주),Marketing Lead,3.5,경기,"- 2년 이상의 유관 경력을 보유하신 분
- C++ 소프트웨어 개발 역량이 우수하신 분
- 객체 지향 SW 설계 및 개발 경험이 있으신 분
- Embedded Linux(ARM) 기반 SW 개발 경험이 있으신 분
- Network, Multithreading, Concurrency 등 개발을 해보신 분
- Open Source를 활용한 개발 경험을 보유하신 분

"
375,(주)스펙터,프로덕트 매니저 (PM),4.0,서울,"✔ 어디 이런 분 없나요?
• 마케팅 기획 경력 5년 이상 또는 그에 상응하는 실력이 있으신 분
• 콘텐츠 기획 등에 관심이 있고, 능동적으로 참여하는 분
• 마케팅 콘텐츠의 의도를 정확히 파악하고 다양한 크리에이티브 도출이 가능한 분
• 고객 행동 및 트래픽 분석 능력을 보유하신 분
• 다양한 이해 관계자들과 원활한 커뮤니케이션 능력을 보유하신 분"
376,에스프레스토(주),프로덕트 디자이너(ZimGO 서비스),0.0,전국,"- ‘체크인’ 서비스 화면/기능 기획 (와이어프레임 수준까지)
- 분석 트래킹 툴 활용을 통한 데이터 분석 (GA, Amplitude 등) 및 분석 결과를 제품에 다시 적용
- 프로젝트 실행을 위한 유관 부서 및 관계사와 협업 진행"
377,(주)트레드링스,시니어 백엔드 엔지니어,4.4,서울,"[프로덕트 디자이너(ZimGO 서비스)는 이런 일을 해요]

• 트레드링스 ZimGo(짐고) 플랫폼 및 서비스의 UI/UX 설계 및 제안을 담당해요.
• 기존 서비스를 유지보수하고, 신규 서비스를 디자인 해요.
• 타 직군(기획, 영업, 운영 등)간 협업을 통한 지속적인 서비스 사용성 향상을 위한 고민을 해요.
• 트레드링스 마케팅 디자인을 담당합니다.

"
378,트리플콤마(주),Recruiter (드라이버),3.2,서울,"• 개발 경력 5년 이상 10년 이하 혹은 그에 준하는 실력을 보유한 분을 찾습니다.
• 데이터베이스(RDB) 설계 및 백엔드 서버 개발 경험**이 필요합니다.
• Java/Spring Boot 환경에서의 개발 경험이 필요합니다.
• WebSocket, RESTful API 기반의 서버 개발 경험이 필요합니다.
• 사용자 대상의 서비스 설계,개발, 런칭 및 운영 경험이 필요합니다."
